alpha,beta,n_farmers_analyzed,seed,buyer_demand,market_price_per_credit,mechanism_name,avg_farmer_profit,gini_coefficient,ir_met_overall,ir_met_percentage,num_winners,buyer_cost,total_surplus,is_in_core,core_check_performed,is_in_core_numeric
1.0,0.0,100,24004,15,1000.0,VCG Auction,31.13,0.99,False,0.0,1,3113.0,283.0,,False,
1.0,0.0,100,24004,15,1000.0,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,1000.0,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,1262.5,VCG Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,1926.12,,False,
1.0,0.0,100,24004,15,1262.5,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,1262.5,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,1525.0,VCG Auction,702.72,0.9303551912568306,False,0.0,9,70272.0,7924.0,,False,
1.0,0.0,100,24004,15,1525.0,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,1525.0,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,1787.5,VCG Auction,1337.04,0.8730748519116855,False,0.0,16,133704.0,23267.5,,False,
1.0,0.0,100,24004,15,1787.5,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,1787.5,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,2050.0,VCG Auction,2613.03,0.7943156794985132,False,2.0,27,261303.0,49219.5,,False,
1.0,0.0,100,24004,15,2050.0,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,2050.0,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,2312.5,VCG Auction,4350.72,0.7038735657546337,False,4.0,40,435072.0,87267.0,,False,
1.0,0.0,100,24004,15,2312.5,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,2312.5,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,2575.0,VCG Auction,4928.04,0.6844560514930885,False,7.000000000000001,43,492804.0,135895.5,,False,
1.0,0.0,100,24004,15,2575.0,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,2575.0,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,2837.5,VCG Auction,6862.85,0.6402962180435242,False,13.0,50,686285.0,190725.38,,False,
1.0,0.0,100,24004,15,2837.5,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,2837.5,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
1.0,0.0,100,24004,15,3100.0,VCG Auction,9360.64,0.5746759195952413,False,18.0,59,936064.0,260618.0,,False,
1.0,0.0,100,24004,15,3100.0,Uniform Price Auction,108.81,0.9701672640382317,False,0.0,3,10881.0,,,False,
1.0,0.0,100,24004,15,3100.0,Shapley Allocation,19582.0,0.1400010213461342,True,100.0,100,,1958200.0,,False,
